Id,Response,S32,S33,S34,cnt,Magic
5017,1,1,0,0,1,3
7944,1,1,0,0,1,3
12280,1,1,0,0,1,3
17454,0,1,0,0,1,3
24386,1,1,0,1,1,3
26379,1,1,0,0,1,3
27071,1,1,0,0,1,3
27145,1,1,0,0,1,3
27806,1,1,0,0,1,3
32357,1,1,0,0,1,3
34207,1,1,0,1,1,3
40092,0,1,0,0,1,3
40747,0,1,0,1,1,3
41146,1,1,0,1,1,3
44782,0,1,0,0,1,3
45354,1,1,0,0,1,3
46351,1,1,0,0,1,3
49121,0,1,0,0,1,3
49417,1,1,0,1,1,3
57736,1,1,0,1,1,3
58383,1,1,0,0,1,3
65680,1,1,0,0,1,3
69103,0,1,0,0,1,3
69634,1,1,0,0,1,3
75512,0,1,0,0,1,3
75743,0,1,0,0,1,3
80950,1,1,0,1,1,3
83290,0,1,0,0,1,3
83540,1,1,0,0,1,3
83791,1,1,0,0,1,3
84243,1,1,0,0,1,3
95469,1,1,0,0,1,3
101935,1,1,0,0,1,3
119616,1,1,0,0,1,3
126915,1,1,0,0,1,3
132666,1,1,0,0,1,3
135595,0,1,0,0,1,3
138000,0,1,0,0,1,3
139001,1,1,0,0,1,3
139272,1,1,0,1,1,3
141658,1,1,0,0,1,3
142034,1,1,0,1,1,3
145204,1,1,0,0,1,3
146714,1,1,0,0,1,3
147982,0,1,0,0,1,3
148317,0,1,0,0,1,3
150876,1,1,0,0,1,3
157771,0,1,0,0,1,3
161538,1,1,0,0,1,3
163105,1,1,0,0,1,3
165265,1,1,0,1,1,3
165464,1,1,0,1,1,3
166610,1,1,0,0,1,3
168649,0,1,0,0,1,3
168984,1,1,0,0,1,3
171280,1,1,0,0,1,3
174532,1,1,0,0,1,3
175138,1,1,0,0,1,3
176189,1,1,0,0,1,3
176907,1,1,0,0,1,3
176966,1,1,0,0,1,3
177069,0,1,0,0,1,3
177819,0,1,0,1,1,3
180998,1,1,0,0,1,3
181390,1,1,0,0,1,3
181712,1,1,0,0,1,3
184571,1,1,0,0,1,3
185030,1,1,0,0,1,3
185564,1,1,0,0,1,3
186472,1,1,0,0,1,3
188748,1,1,0,0,1,3
190498,0,1,0,0,1,3
195987,1,1,0,0,1,3
196987,1,1,0,0,1,3
199842,0,1,0,0,1,3
202891,1,1,0,0,1,3
203915,1,1,0,0,1,3
204154,1,1,0,0,1,3
207183,0,1,0,0,1,3
207799,1,1,0,0,1,3
211061,1,1,0,0,1,3
214258,1,1,0,0,1,3
215944,1,1,0,0,1,3
221111,1,1,0,0,1,3
224585,1,1,0,0,1,3
225008,1,1,0,0,1,3
226938,1,1,0,1,1,3
229202,0,1,0,0,1,3
231753,0,1,0,1,1,3
236435,1,1,0,0,1,3
236772,1,1,0,0,1,3
238299,1,1,0,0,1,3
243840,1,1,0,0,1,3
246573,1,1,0,0,1,3
246798,1,1,0,1,1,3
253163,1,1,0,0,1,3
255090,1,1,0,0,1,3
260345,1,1,0,0,1,3
263591,1,1,0,0,1,3
268165,1,1,0,0,1,3
269123,1,1,0,0,1,3
271737,1,1,0,0,1,3
272133,0,1,0,0,1,3
274343,1,1,0,1,1,3
276997,1,1,0,0,1,3
277172,1,1,0,0,1,3
280944,0,1,0,0,1,3
283142,1,1,0,1,1,3
283241,1,1,0,1,1,3
285737,1,1,0,0,1,3
287455,1,1,0,0,1,3
289458,1,1,0,0,1,3
290790,0,1,0,0,1,3
293939,1,1,0,0,1,3
295686,1,1,0,1,1,3
297343,1,1,0,0,1,3
300807,1,1,0,0,1,3
300879,1,1,0,0,1,3
302258,1,1,0,0,1,3
305986,1,1,0,0,1,3
309776,1,1,0,0,1,3
315997,1,1,0,0,1,3
319939,0,1,0,1,1,3
327783,1,1,0,0,1,3
331301,1,1,0,0,1,3
332414,1,1,0,0,1,3
334568,0,1,0,1,1,3
338155,1,1,0,0,1,3
340072,1,1,0,0,1,3
342944,1,1,0,0,1,3
343601,1,1,0,0,1,3
346986,1,1,0,0,1,3
348757,1,1,0,0,1,3
350653,1,1,0,0,1,3
351577,1,1,0,0,1,3
352909,1,1,0,0,1,3
353822,0,1,0,0,1,3
353849,1,1,0,1,1,3
357817,1,1,0,1,1,3
358645,1,1,0,0,1,3
358660,0,1,0,1,1,3
359348,1,1,0,0,1,3
361700,1,1,0,1,1,3
362265,1,1,0,0,1,3
362969,1,1,0,1,1,3
365949,1,1,0,0,1,3
366486,1,1,0,0,1,3
369363,1,1,0,0,1,3
369987,1,1,0,1,1,3
374438,1,1,0,0,1,3
376609,1,1,0,0,1,3
378509,1,1,0,0,1,3
382646,1,1,0,0,1,3
387670,1,1,0,0,1,3
391042,1,1,0,0,1,3
392233,1,1,0,0,1,3
392611,1,1,0,0,1,3
398890,1,1,0,0,1,3
399848,1,1,0,0,1,3
401037,1,1,0,0,1,3
413583,1,1,0,0,1,3
422010,1,1,0,0,1,3
425251,1,1,0,0,1,3
433886,1,1,0,0,1,3
434898,1,1,0,0,1,3
440358,1,1,0,1,1,3
443000,0,1,0,0,1,3
443190,1,1,0,0,1,3
448802,1,1,0,0,1,3
448911,0,1,0,0,1,3
449567,1,1,0,0,1,3
458852,0,1,0,0,1,3
461170,1,1,0,0,1,3
463968,0,1,0,1,1,3
465985,1,1,0,0,1,3
478376,1,1,0,1,1,3
483233,0,1,0,1,1,3
484233,1,1,0,0,1,3
486357,1,1,0,0,1,3
493514,1,1,0,0,1,3
493783,1,1,0,1,1,3
493854,1,1,0,0,1,3
497567,1,1,0,1,1,3
499032,0,1,0,0,1,3
501149,1,1,0,0,1,3
503530,1,1,0,0,1,3
508212,1,1,0,0,1,3
508649,1,1,0,0,1,3
509386,0,1,0,0,1,3
510808,1,1,0,0,1,3
512605,1,1,0,0,1,3
513800,1,1,0,0,1,3
515284,1,1,0,0,1,3
519657,1,1,0,0,1,3
520337,1,1,0,0,1,3
522314,0,1,0,1,1,3
530641,0,1,0,1,1,3
530822,1,1,0,1,1,3
533974,1,1,0,0,1,3
536497,1,1,0,1,1,3
538120,1,1,0,0,1,3
543085,0,1,0,0,1,3
547991,1,1,0,0,1,3
548518,1,1,0,0,1,3
551976,1,1,0,0,1,3
555299,1,1,0,1,1,3
556989,1,1,0,1,1,3
560803,1,1,0,0,1,3
562768,1,1,0,1,1,3
562945,1,1,0,0,1,3
564656,0,1,0,1,1,3
565853,1,1,0,0,1,3
566235,0,1,0,1,1,3
574835,1,1,0,0,1,3
577364,1,1,0,0,1,3
586597,0,1,0,0,1,3
599407,1,1,0,0,1,3
599697,1,1,0,1,1,3
600272,1,1,0,0,1,3
601871,1,1,0,0,1,3
602274,1,1,0,0,1,3
602702,0,1,0,1,1,3
606438,1,1,0,1,1,3
614500,1,1,0,0,1,3
615486,1,1,0,0,1,3
615490,1,1,0,0,1,3
616371,0,1,0,0,1,3
623786,0,1,0,1,1,3
624915,1,1,0,0,1,3
628015,1,1,0,0,1,3
629906,1,1,0,0,1,3
632406,0,1,0,0,1,3
633476,0,1,0,0,1,3
637256,1,1,0,0,1,3
637283,1,1,0,0,1,3
638007,1,1,0,1,1,3
638626,1,1,0,0,1,3
643589,1,1,0,0,1,3
643708,1,1,0,0,1,3
648688,1,1,0,1,1,3
649738,1,1,0,0,1,3
651487,1,1,0,0,1,3
652123,1,1,0,0,1,3
653924,1,1,0,1,1,3
655032,1,1,0,0,1,3
658508,1,1,0,0,1,3
662566,1,1,0,0,1,3
665780,1,1,0,0,1,3
667163,0,1,0,1,1,3
670716,1,1,0,0,1,3
673741,0,1,0,0,1,3
676270,1,1,0,0,1,3
682476,1,1,0,0,1,3
687174,1,1,0,0,1,3
691937,1,1,0,0,1,3
692023,1,1,0,0,1,3
698080,1,1,0,0,1,3
699467,1,1,0,0,1,3
703554,1,1,0,0,1,3
704546,1,1,0,0,1,3
707272,1,1,0,0,1,3
709211,1,1,0,0,1,3
710275,1,1,0,0,1,3
711473,1,1,0,0,1,3
715200,1,1,0,0,1,3
716475,1,1,0,0,1,3
716888,1,1,0,0,1,3
719985,1,1,0,0,1,3
726376,1,1,0,0,1,3
733838,0,1,0,0,1,3
736446,0,1,0,0,1,3
737448,1,1,0,1,1,3
741534,1,1,0,0,1,3
742602,1,1,0,0,1,3
742806,1,1,0,0,1,3
743083,1,1,0,0,1,3
745654,1,1,0,0,1,3
