hash,column
-8179083408896920552,Id
5570990353505855880,L0_S1_F25
-7723967083468670147,L0_S1_F27
8806470606062847586,L0_S1_F29
331762746432533918,L0_S1_F31
-8761521978283028406,L0_S2_F33
1509707295986162674,L0_S2_F35
419203716770830291,L0_S3_F69
8177801990194528236,L0_S4_F105
-1986188735145640450,L0_S4_F107
-4893065494310830471,L0_S4_F108
1584084725430617712,L0_S4_F110
7170936518416061375,L0_S4_F112
-868580507212217508,L0_S6_F119
-4225214247800587336,L0_S9_F151
-357916620306543862,L0_S9_F153
-944545312888481339,L0_S9_F154
4950542479643688833,L0_S9_F156
-6443177116948454321,L0_S9_F158
-2185477137756842870,L0_S9_F159
2756648312267569123,L0_S9_F164
4507343128613992401,L0_S9_F166
-8165375357996050979,L0_S9_F169
-2976135536780574176,L0_S10_F215
2675786475366570471,L0_S10_F217
-2630651696431732610,L0_S10_F218
-7205365115640327661,L0_S10_F220
2002910723802908705,L0_S10_F222
-8189122678949233796,L0_S10_F223
1900255642226500355,L0_S10_F230
-9034362733249871937,L0_S10_F233
3814591762497099135,L0_S11_F279
-1118726028035383775,L0_S14_F359
9007886091302278754,L0_S14_F361
3758118282304330458,L0_S15_F396
3728856349141834850,L0_S16_F422
3662281982247557236,L0_S16_F424
3856312315621587602,L0_S16_F425
-5367397341086582998,L0_S21_F468
6883598782669589757,L0_S21_F470
2375697337524988388,L0_S21_F471
-1811533364185030657,L0_S21_F473
6545694027733593870,L0_S21_F475
-481234715458092495,L0_S21_F476
5885115877838096006,L0_S21_F483
-8158097395514103612,L0_S21_F486
8108398297026703371,L0_S22_F542
-5473754793076455318,L0_S22_F544
5778596491379779874,L0_S22_F545
6614908479414245317,L0_S22_F547
-9149231917803255347,L0_S22_F549
4977209841959301086,L0_S22_F550
4207245421435632431,L0_S22_F555
-8903766600111600551,L0_S22_F557
-2000796377073271957,L0_S22_F560
-5806599209934399367,L1_S24_F675
7617105135473689221,L1_S24_F695
5536743810299226502,L1_S24_F696
-6379274230034954866,L1_S24_F698
-7576606276499891745,L1_S24_F699
6617805360390865545,L1_S24_F703
4410190691685390120,L1_S24_F705
3282753724466244627,L1_S24_F710
-8025421038698283577,L1_S24_F773
5474407088731096475,L1_S24_F803
2384343508482728146,L1_S24_F805
1295518948385315415,L1_S24_F817
-5545187236618941911,L1_S24_F819
-4068163879277768159,L1_S24_F820
8376240578408206254,L1_S24_F908
-693703278456589421,L1_S24_F910
2149019793613372433,L1_S24_F911
-5211563090393481265,L1_S24_F1017
1973647368987447239,L1_S24_F1020
-4505661217437122242,L1_S24_F1061
-1330136389336185593,L1_S24_F1063
-4147651157611151622,L1_S24_F1064
-8067198969612734756,L1_S24_F1114
-6532606689765121720,L1_S24_F1115
8724031111498883348,L1_S24_F1136
4344893398164333367,L1_S24_F1137
123093566447721878,L1_S24_F1140
1000380116585995537,L1_S24_F1156
-7988359972675467859,L1_S24_F1162
-5245891852168319414,L1_S24_F1185
3581256576117421028,L1_S24_F1187
-2018521466353293930,L1_S24_F1188
3989977084309251147,L1_S24_F1276
-2794580433537565158,L1_S24_F1278
-2652504669762349474,L1_S24_F1279
2056614228567987564,L1_S24_F1367
3694024740365144837,L1_S24_F1370
3990584306217530594,L1_S24_F1412
-1202608630717349947,L1_S24_F1414
-8099419188045990827,L1_S24_F1415
1666074887850913999,L1_S24_F1456
204759676163949970,L1_S24_F1458
-3149619383372727007,L1_S24_F1459
-4791882479904746759,L1_S24_F1510
-9199857022987574371,L1_S24_F1521
-4084608394451146341,L1_S24_F1523
-7705022743070750512,L1_S24_F1524
-8691216831996641151,L1_S24_F1525
-4644244236995258954,L1_S24_F1530
-6449575977193132931,L1_S24_F1537
-8370725729713044180,L1_S24_F1559
-908736986728852056,L1_S24_F1577
2269687436842244441,L1_S24_F1582
2611053131425352522,L1_S24_F1584
-4533796206299716811,L1_S24_F1585
767621182724250663,L1_S24_F1675
-6886308340341443302,L1_S24_F1764
-4315752187699429106,L1_S24_F1767
-8956322118051943585,L1_S24_F1769
977783404723043041,L1_S24_F1827
4231508926059925447,L1_S25_F1852
-2658676905279149069,L1_S25_F1866
-3727903238522270492,L1_S25_F1868
-5400644405969793440,L1_S25_F1882
-8311123236436017537,L1_S25_F1884
2282156113796706725,L1_S25_F1886
-6342846761715857990,L1_S25_F1888
369399601603803028,L1_S25_F1889
7492397968828353071,L1_S25_F1897
8778148030223873848,L1_S25_F1899
6933553777097409857,L1_S25_F1901
-5915971003453346924,L1_S25_F1903
481119935953532414,L1_S25_F1904
-2809649413790011248,L1_S25_F1979
3144316018514190731,L1_S25_F1981
-7892512529549768415,L1_S25_F1982
-3703221216277384184,L1_S25_F2057
782652170335927156,L1_S25_F2059
5867981041789916409,L1_S25_F2060
-3592418658370214765,L1_S25_F2097
7471446200593480251,L1_S25_F2099
6203186999259754446,L1_S25_F2100
