hash,column
-8179083408896920552,Id
5570990353505855880,L0_S1_F25
-7723967083468670147,L0_S1_F27
8806470606062847586,L0_S1_F29
331762746432533918,L0_S1_F31
-8761521978283028406,L0_S2_F33
1509707295986162674,L0_S2_F35
-8761521978283028406,L0_S2_F37
1509707295986162674,L0_S2_F39
-8761521978283028406,L0_S2_F41
1509707295986162674,L0_S2_F43
-8761521978283028406,L0_S2_F45
1509707295986162674,L0_S2_F47
-8761521978283028406,L0_S2_F49
1509707295986162674,L0_S2_F51
-8761521978283028406,L0_S2_F53
1509707295986162674,L0_S2_F55
-8761521978283028406,L0_S2_F57
1509707295986162674,L0_S2_F59
-8761521978283028406,L0_S2_F61
1509707295986162674,L0_S2_F63
-8761521978283028406,L0_S2_F65
1509707295986162674,L0_S2_F67
419203716770830291,L0_S3_F69
419203716770830291,L0_S3_F71
419203716770830291,L0_S3_F73
419203716770830291,L0_S3_F75
419203716770830291,L0_S3_F77
419203716770830291,L0_S3_F79
419203716770830291,L0_S3_F81
419203716770830291,L0_S3_F83
419203716770830291,L0_S3_F85
419203716770830291,L0_S3_F87
419203716770830291,L0_S3_F89
419203716770830291,L0_S3_F91
419203716770830291,L0_S3_F93
419203716770830291,L0_S3_F95
419203716770830291,L0_S3_F97
419203716770830291,L0_S3_F99
419203716770830291,L0_S3_F101
419203716770830291,L0_S3_F103
8177801990194528236,L0_S4_F105
-1986188735145640450,L0_S4_F107
-4893065494310830471,L0_S4_F108
1584084725430617712,L0_S4_F110
7170936518416061375,L0_S4_F112
1584084725430617712,L0_S4_F113
-868580507212217508,L0_S6_F119
-868580507212217508,L0_S6_F121
-868580507212217508,L0_S6_F123
-868580507212217508,L0_S6_F125
-868580507212217508,L0_S6_F126
-868580507212217508,L0_S6_F128
-868580507212217508,L0_S6_F129
-868580507212217508,L0_S6_F131
-868580507212217508,L0_S6_F133
-868580507212217508,L0_S6_F135
-4225214247800587336,L0_S9_F151
-357916620306543862,L0_S9_F153
-944545312888481339,L0_S9_F154
4950542479643688833,L0_S9_F156
-6443177116948454321,L0_S9_F158
-2185477137756842870,L0_S9_F159
-4225214247800587336,L0_S9_F161
-357916620306543862,L0_S9_F163
2756648312267569123,L0_S9_F164
4507343128613992401,L0_S9_F166
-6443177116948454321,L0_S9_F168
-8165375357996050979,L0_S9_F169
-4225214247800587336,L0_S9_F171
-357916620306543862,L0_S9_F173
2756648312267569123,L0_S9_F174
4950542479643688833,L0_S9_F176
-6443177116948454321,L0_S9_F178
-2185477137756842870,L0_S9_F179
4950542479643688833,L0_S9_F181
-6443177116948454321,L0_S9_F183
-2185477137756842870,L0_S9_F184
4950542479643688833,L0_S9_F186
-6443177116948454321,L0_S9_F188
-2185477137756842870,L0_S9_F189
4950542479643688833,L0_S9_F191
-6443177116948454321,L0_S9_F193
-2185477137756842870,L0_S9_F194
4950542479643688833,L0_S9_F196
-6443177116948454321,L0_S9_F198
-2185477137756842870,L0_S9_F199
4950542479643688833,L0_S9_F201
-6443177116948454321,L0_S9_F203
-2185477137756842870,L0_S9_F204
4950542479643688833,L0_S9_F206
-6443177116948454321,L0_S9_F208
-2185477137756842870,L0_S9_F209
4950542479643688833,L0_S9_F211
-6443177116948454321,L0_S9_F213
-2185477137756842870,L0_S9_F214
-2976135536780574176,L0_S10_F215
2675786475366570471,L0_S10_F217
-2630651696431732610,L0_S10_F218
-7205365115640327661,L0_S10_F220
2002910723802908705,L0_S10_F222
-8189122678949233796,L0_S10_F223
-2976135536780574176,L0_S10_F225
2675786475366570471,L0_S10_F227
-2630651696431732610,L0_S10_F228
1900255642226500355,L0_S10_F230
2002910723802908705,L0_S10_F232
-9034362733249871937,L0_S10_F233
-2976135536780574176,L0_S10_F235
2675786475366570471,L0_S10_F237
-2630651696431732610,L0_S10_F238
-7205365115640327661,L0_S10_F240
2002910723802908705,L0_S10_F242
-8189122678949233796,L0_S10_F243
-7205365115640327661,L0_S10_F245
2002910723802908705,L0_S10_F247
-8189122678949233796,L0_S10_F248
-7205365115640327661,L0_S10_F250
2002910723802908705,L0_S10_F252
-8189122678949233796,L0_S10_F253
-7205365115640327661,L0_S10_F255
2002910723802908705,L0_S10_F257
-8189122678949233796,L0_S10_F258
-7205365115640327661,L0_S10_F260
2002910723802908705,L0_S10_F262
-8189122678949233796,L0_S10_F263
-7205365115640327661,L0_S10_F265
2002910723802908705,L0_S10_F267
-8189122678949233796,L0_S10_F268
-7205365115640327661,L0_S10_F270
2002910723802908705,L0_S10_F272
-8189122678949233796,L0_S10_F273
-7205365115640327661,L0_S10_F275
2002910723802908705,L0_S10_F277
-8189122678949233796,L0_S10_F278
3814591762497099135,L0_S11_F279
3814591762497099135,L0_S11_F281
3814591762497099135,L0_S11_F283
3814591762497099135,L0_S11_F285
3814591762497099135,L0_S11_F287
3814591762497099135,L0_S11_F289
3814591762497099135,L0_S11_F291
