hash,column
-8179083408896920552,Id
3146793885873126885,L0_S0_D1
3146793885873126885,L0_S0_D3
3146793885873126885,L0_S0_D5
3146793885873126885,L0_S0_D7
3146793885873126885,L0_S0_D9
3146793885873126885,L0_S0_D11
3146793885873126885,L0_S0_D13
3146793885873126885,L0_S0_D15
3146793885873126885,L0_S0_D17
3146793885873126885,L0_S0_D19
3146793885873126885,L0_S0_D21
3146793885873126885,L0_S0_D23
9116345672762514063,L0_S1_D26
7533476949682284417,L0_S1_D30
-4270085874336947684,L0_S2_D34
-4270085874336947684,L0_S2_D38
-4270085874336947684,L0_S2_D42
-4270085874336947684,L0_S2_D46
-4270085874336947684,L0_S2_D50
-4270085874336947684,L0_S2_D54
-4270085874336947684,L0_S2_D58
-4270085874336947684,L0_S2_D62
-4270085874336947684,L0_S2_D66
1954551339981736213,L0_S3_D70
1954551339981736213,L0_S3_D74
1954551339981736213,L0_S3_D78
1954551339981736213,L0_S3_D82
1954551339981736213,L0_S3_D86
1954551339981736213,L0_S3_D90
1954551339981736213,L0_S3_D94
1954551339981736213,L0_S3_D98
1954551339981736213,L0_S3_D102
3407140745539753060,L0_S4_D106
8986232811937441142,L0_S4_D111
-5368641976612932278,L0_S5_D115
-5368641976612932278,L0_S5_D117
-2644550053566979409,L0_S6_D120
-2644550053566979409,L0_S6_D124
-2644550053566979409,L0_S6_D127
-2644550053566979409,L0_S6_D130
-2644550053566979409,L0_S6_D134
3522525687330344558,L0_S7_D137
3522525687330344558,L0_S7_D139
3522525687330344558,L0_S7_D140
3522525687330344558,L0_S7_D141
3522525687330344558,L0_S7_D143
-4453279377205117829,L0_S8_D145
-4453279377205117829,L0_S8_D147
-4453279377205117829,L0_S8_D148
-4453279377205117829,L0_S8_D150
1364009046188980364,L0_S9_D152
2284833421373062806,L0_S9_D157
-1950107167314752491,L0_S9_D162
-787487247102980454,L0_S9_D167
-1950107167314752491,L0_S9_D172
2284833421373062806,L0_S9_D177
2284833421373062806,L0_S9_D182
2284833421373062806,L0_S9_D187
2284833421373062806,L0_S9_D192
2284833421373062806,L0_S9_D197
2284833421373062806,L0_S9_D202
2284833421373062806,L0_S9_D207
2284833421373062806,L0_S9_D212
-5151214296004000502,L0_S10_D216
-8099315442752378685,L0_S10_D221
-5151214296004000502,L0_S10_D226
-1731096527171500755,L0_S10_D231
-5151214296004000502,L0_S10_D236
-8099315442752378685,L0_S10_D241
-8099315442752378685,L0_S10_D246
