hash,column
-8179083408896920552,Id
3146793885873126885,L0_S0_D1
9116345672762514063,L0_S1_D26
7533476949682284417,L0_S1_D30
-4270085874336947684,L0_S2_D34
1954551339981736213,L0_S3_D70
3407140745539753060,L0_S4_D106
8986232811937441142,L0_S4_D111
-5368641976612932278,L0_S5_D115
-2644550053566979409,L0_S6_D120
3522525687330344558,L0_S7_D137
-4453279377205117829,L0_S8_D145
1364009046188980364,L0_S9_D152
2284833421373062806,L0_S9_D157
-1950107167314752491,L0_S9_D162
-787487247102980454,L0_S9_D167
-5151214296004000502,L0_S10_D216
-8099315442752378685,L0_S10_D221
-1731096527171500755,L0_S10_D231
1010586616023283509,L0_S11_D280
-8330917135839573072,L0_S12_D331
-6051513553862954850,L0_S13_D355
-4574300780051515460,L0_S14_D360
-2698185509467070839,L0_S15_D395
-3321698688835957001,L0_S16_D423
-888995921229214008,L0_S17_D432
-2393821366042724585,L0_S18_D437
2791393433315478508,L0_S19_D454
-2591700257789192643,L0_S20_D462
-3910501765616404633,L0_S21_D469
6208558755485321293,L0_S21_D474
3316601337936404728,L0_S21_D484
7171350332475220516,L0_S22_D543
-8521823633049362069,L0_S22_D548
8955283215144931649,L0_S22_D553
-4187923718654954082,L0_S22_D558
-8510152808564065236,L0_S23_D617
1681133270837574018,L1_S24_D677
3414991874999952323,L1_S24_D697
3273936912626149282,L1_S24_D702
-1858215557197005473,L1_S24_D772
9129482720915243626,L1_S24_D801
-6206452553375012732,L1_S24_D804
-2545265235218854685,L1_S24_D807
2261651313252442743,L1_S24_D813
152661879970888047,L1_S24_D818
-7649739115230308810,L1_S24_D909
-6438035393585226555,L1_S24_D999
3854257679561975061,L1_S24_D1018
-3504295676301095477,L1_S24_D1062
244524696263202561,L1_S24_D1116
6365845225867155889,L1_S24_D1135
-149253932173278587,L1_S24_D1155
-4966358304149395803,L1_S24_D1158
-9146592247094913037,L1_S24_D1163
3908612314426442304,L1_S24_D1168
-2061713101441540695,L1_S24_D1171
-768765618762071094,L1_S24_D1178
1265410816803213808,L1_S24_D1186
-605821089208050201,L1_S24_D1277
5438573756410746296,L1_S24_D1368
4014319203770447559,L1_S24_D1413
-331891935908327727,L1_S24_D1457
5371402515740497932,L1_S24_D1511
-355128068740055111,L1_S24_D1522
7968594032540965576,L1_S24_D1536
-5805815439841208826,L1_S24_D1558
1765835159372411097,L1_S24_D1562
-4454124196913438743,L1_S24_D1566
