hash,column
-8179083408896920552,Id
-1730151778908497965,L0_S0_F0
-1428267417181218861,L0_S0_F2
-392913880950106157,L0_S0_F4
-2644395990535759917,L0_S0_F6
2717532156714162131,L0_S0_F8
-3487327505778075693,L0_S0_F10
-5573605264912410669,L0_S0_F12
-8300602081293232173,L0_S0_F14
-579426044119476269,L0_S0_F16
-8485492611377391661,L0_S0_F18
157795349105612755,L0_S0_F20
6077664945068447699,L0_S0_F22
-2784301586675525677,L0_S1_F24
-6306509836974155821,L0_S1_F28
-8301401733336786989,L0_S2_F32
1449317329013184467,L0_S2_F36
-7665833911688751149,L0_S2_F40
6088474090067597267,L0_S2_F44
5667422087852464083,L0_S2_F48
-8388320435391652871,L0_S2_F52
3491706857996031955,L0_S2_F56
4609048891640649683,L0_S2_F60
-2016414304124397613,L0_S2_F64
3428484552851855315,L0_S3_F68
5759553607949490131,L0_S3_F72
6693367388163151827,L0_S3_F76
-2177029103525947437,L0_S3_F80
-4070609703113713709,L0_S3_F84
8510147929680335687,L0_S3_F88
2963130545751857107,L0_S3_F92
8165972157317650387,L0_S3_F96
7521038237136459731,L0_S3_F100
7609909638148265939,L0_S4_F104
-8537427842594105389,L0_S4_F109
-3426272264232495149,L0_S5_F114
-5466257916662769709,L0_S5_F116
-8809918972055644205,L0_S6_F118
3566658391602763731,L0_S6_F122
-8206717115027810349,L0_S6_F132
7066001783011022803,L0_S7_F136
-7753924792051951661,L0_S7_F138
-490310590986315821,L0_S7_F142
125547663052904403,L0_S8_F144
-2636931099781921592,L0_S8_F146
2263457859551762387,L0_S8_F149
-35294265225111597,L0_S9_F155
7039847658045183955,L0_S9_F160
-9175500030144538669,L0_S9_F165
-3029156641159899181,L0_S9_F170
-4842158718820411437,L0_S9_F175
-6572624703085209645,L0_S9_F180
7004795596987307987,L0_S9_F185
9060616755720099795,L0_S9_F190
3287927104156866515,L0_S9_F195
6016066574038210515,L0_S9_F200
1658103019170306003,L0_S9_F205
6620783572047763411,L0_S9_F210
-874149515858929709,L0_S10_F219
2469215070021097427,L0_S10_F224
7787302587436767187,L0_S10_F229
-3889898822869575725,L0_S10_F234
900973592461055955,L0_S10_F239
8089388079798163411,L0_S10_F244
-1735251308200978477,L0_S10_F249
-8092269513407064109,L0_S10_F254
4160749044595300307,L0_S10_F259
-2074766695370188845,L0_S10_F264
-6640518173321455661,L0_S10_F269
3432272806885595091,L0_S10_F274
-6104288120102578221,L0_S11_F282
4167262555236341715,L0_S11_F286
5536325169525954515,L0_S11_F290
-5175937026651449389,L0_S11_F294
2950573633336383443,L0_S11_F298
877652270083610579,L0_S11_F302
-3920696405288151085,L0_S11_F306
-8356596897612949549,L0_S11_F310
-904143790143039533,L0_S11_F314
-853713722967451693,L0_S11_F318
-6876532106883360813,L0_S11_F322
5713252885004163027,L0_S11_F326
-8315580609549953069,L0_S12_F330
5937237610797078483,L0_S12_F332
9161185210520704979,L0_S12_F334
-5089419597893462061,L0_S12_F336
-7231203391036844077,L0_S12_F338
6439927595728771027,L0_S12_F340
-8978461003869710381,L0_S12_F342
-698173673581439021,L0_S12_F344
-974240921394210861,L0_S12_F346
36825796427782099,L0_S12_F348
-3814482976186165293,L0_S12_F350
1504719978327578579,L0_S12_F352
-302997522448246829,L0_S13_F354
2502330241488656339,L0_S13_F356
-6811748951568017453,L0_S14_F358
8358703951480494035,L0_S14_F362
-5463529958252603437,L0_S14_F366
8001765755670894547,L0_S14_F370
-5433241181550667821,L0_S14_F374
7411586641048336853,L0_S14_F378
1106859239632410579,L0_S14_F382
-7591355094262212653,L0_S14_F386
-3601560291656722477,L0_S14_F390
-4435867863413811245,L0_S15_F394
554501334572079059,L0_S15_F397
8425375716927215571,L0_S15_F400
1947772066826950611,L0_S15_F403
461725779834050515,L0_S15_F406
-7813215355056576511,L0_S15_F409
-144907054641440813,L0_S15_F412
-2952400269685155885,L0_S15_F415
-6527351317795039277,L0_S15_F418
-7932771823456479277,L0_S16_F421
6871461828554528723,L0_S16_F426
493288730793482195,L0_S17_F431
