Id,Response,L0_S0_D1,L0_S1_D26,L0_S1_D30,L0_S2_D34,L0_S3_D70,L0_S4_D106,L0_S4_D111,L0_S5_D115,L0_S6_D120,L0_S7_D137,L0_S8_D145,L0_S9_D152,L0_S9_D157,L0_S9_D162,L0_S9_D167,L0_S10_D216,L0_S10_D221,L0_S10_D231,L0_S11_D280,L0_S12_D331,L0_S13_D355,L0_S14_D360,L0_S15_D395,L0_S16_D423,L0_S17_D432,L0_S18_D437,L0_S19_D454,L0_S20_D462,L0_S21_D469,L0_S21_D474,L0_S21_D484,L0_S22_D543,L0_S22_D548,L0_S22_D553,L0_S22_D558,L0_S23_D617,L1_S24_D677,L1_S24_D697,L1_S24_D702,L1_S24_D772,L1_S24_D801,L1_S24_D804,L1_S24_D807,L1_S24_D813,L1_S24_D818,L1_S24_D909,L1_S24_D999,L1_S24_D1018,L1_S24_D1062,L1_S24_D1116,L1_S24_D1135,L1_S24_D1155,L1_S24_D1158,L1_S24_D1163,L1_S24_D1168,L1_S24_D1171,L1_S24_D1178,L1_S24_D1186,L1_S24_D1277,L1_S24_D1368,L1_S24_D1413,L1_S24_D1457,L1_S24_D1511,L1_S24_D1522,L1_S24_D1536,L1_S24_D1558,L1_S24_D1562,L1_S24_D1566,L1_S24_D1568,L1_S24_D1570,L1_S24_D1576,L1_S24_D1583,L1_S24_D1674,L1_S24_D1765,L1_S24_D1770,L1_S24_D1809,L1_S24_D1826,L1_S25_D1854,L1_S25_D1867,L1_S25_D1883,L1_S25_D1887,L1_S25_D1891,L1_S25_D1898,L1_S25_D1902,L1_S25_D1980,L1_S25_D2058,L1_S25_D2098,L1_S25_D2138,L1_S25_D2180,L1_S25_D2206,L1_S25_D2230,L1_S25_D2238,L1_S25_D2240,L1_S25_D2242,L1_S25_D2248,L1_S25_D2251,L1_S25_D2329,L1_S25_D2406,L1_S25_D2430,L1_S25_D2445,L1_S25_D2471,L1_S25_D2497,L1_S25_D2505,L1_S25_D2507,L1_S25_D2509,L1_S25_D2515,L1_S25_D2518,L1_S25_D2596,L1_S25_D2674,L1_S25_D2713,L1_S25_D2728,L1_S25_D2754,L1_S25_D2780,L1_S25_D2788,L1_S25_D2790,L1_S25_D2792,L1_S25_D2798,L1_S25_D2801,L1_S25_D2879,L1_S25_D2957,L1_S25_D2996,L1_S25_D3011,L2_S26_D3037,L2_S26_D3081,L2_S27_D3130,L2_S28_D3223,L3_S29_D3316,L3_S29_D3474,L3_S30_D3496,L3_S30_D3501,L3_S30_D3506,L3_S30_D3566,L3_S30_D3726,L3_S31_D3836,L3_S32_D3852,L3_S33_D3856,L3_S34_D3875,L3_S35_D3886,L3_S35_D3895,L3_S35_D3900,L3_S36_D3919,L3_S36_D3928,L3_S37_D3942,L3_S38_D3953,L3_S39_D3966,L3_S40_D3981,L3_S40_D3985,L3_S41_D3997,L3_S42_D4029,L3_S42_D4045,L3_S43_D4062,L3_S43_D4082,L3_S44_D4101,L3_S45_D4125,L3_S46_D4135,L3_S47_D4140,L3_S48_D4194,L3_S49_D4208,L3_S49_D4218,L3_S50_D4242,L3_S51_D4255
1053.0,1,,,,,,,,,,,,,,,,,,,,298.9100036621094,298.94000244140625,298.95001220703125,,,298.9599914550781,298.9599914550781,,298.9599914550781,,,,298.9700012207031,298.9700012207031,298.9700012207031,298.9700012207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.05999755859375,302.05999755859375,302.07000732421875,302.07000732421875,302.07000732421875,,302.07000732421875,,,302.0799865722656,302.0799865722656,,,,302.0899963378906,302.0899963378906,302.0899963378906,,,,,,,,,,,,,,,,,,
1250.0,1,619.1799926757812,619.1900024414062,619.1900024414062,,619.1900024414062,619.2000122070312,619.2000122070312,,,619.2100219726562,619.2100219726562,,,,,,,,619.2100219726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.1500244140625,622.1500244140625,622.1699829101562,622.1699829101562,622.1699829101562,622.1699829101562,622.1699829101562,,622.2000122070312,,,,,,622.2100219726562,622.2100219726562,622.2100219726562,,,,,,,,,,,,,,,,,,
1350.0,1,640.2000122070312,640.2000122070312,640.2000122070312,640.2100219726562,,640.219970703125,640.219970703125,,,640.219970703125,640.22998046875,,,,,,,,640.22998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.8099975585938,642.8099975585938,,,653.469970703125,653.469970703125,653.47998046875,653.47998046875,653.47998046875,653.47998046875,653.47998046875,,,653.489990234375,653.489990234375,,,,653.5,653.5,653.5,,,,,,,,,,,,,,,,,,
1793.0,1,1153.4599609375,1153.4599609375,1153.4599609375,,1153.469970703125,,,1153.5,1153.5,,1153.5,1153.5,1153.5,1153.5,1153.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.3599853515625,1154.3599853515625,1154.3599853515625,1154.3599853515625,1154.3599853515625,1154.3599853515625,1154.3599853515625,,,1154.3800048828125,1154.3800048828125,,,,1154.3900146484375,1154.3900146484375,1154.3900146484375,,,,,,,,,,,,,,,,,,
2347.0,1,961.6500244140625,961.6500244140625,961.6500244140625,,961.6500244140625,,,961.6799926757812,,961.6799926757812,961.6799926757812,961.6900024414062,961.6900024414062,961.6900024414062,961.6900024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.9600219726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.5399780273438,,,,,,,,,,,,,,,,,
3527.0,1,,,,,,,,,,,,,,,,,,,,251.1199951171875,251.1199951171875,251.1199951171875,,,251.13999938964844,251.14999389648438,,251.14999389648438,251.14999389648438,251.14999389648438,251.14999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.1999969482422,252.1999969482422,252.2100067138672,252.2100067138672,252.2100067138672,,252.2100067138672,,,252.2100067138672,252.2100067138672,,,,252.22000122070312,252.22000122070312,252.22000122070312,,,,,,,,,,,,,,,,,,
3585.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0799865722656,327.0799865722656,327.0899963378906,,327.0899963378906,327.0899963378906,,327.0899963378906,,327.1000061035156,,,,,,,,,,,,,,,,,,,,,,,399.8800048828125,399.8800048828125,,,414.8999938964844,414.8999938964844,414.8999938964844,414.8999938964844,414.8999938964844,,414.8999938964844,,,414.9100036621094,414.9100036621094,,,,414.9200134277344,414.9200134277344,414.92999267578125,,,,,,,,,,,,,,,,,,
4104.0,1,,,,,,,,,,,,,,,,,,,,200.6199951171875,200.6300048828125,200.6300048828125,,,200.63999938964844,,200.63999938964844,200.64999389648438,,,,,,,,200.64999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.72000122070312,201.72000122070312,201.72000122070312,201.72000122070312,201.72000122070312,,201.72000122070312,,,201.72999572753906,201.74000549316406,201.74000549316406,201.74000549316406,201.74000549316406,,,201.74000549316406,,,,,,,,,,,,,,,,,,
4978.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.6500244140625,680.6500244140625,680.6500244140625,,680.6500244140625,,680.6500244140625,,680.6799926757812,680.6799926757812,,,,,,,,,,,,,,,,,,,,,,,717.5700073242188,717.5700073242188,,,721.6500244140625,721.6500244140625,721.6500244140625,721.6500244140625,721.6500244140625,721.6500244140625,721.6500244140625,,,721.6599731445312,721.6599731445312,721.6699829101562,721.6699829101562,721.6699829101562,,,721.6699829101562,735.6699829101562,,,,,,,,,,,,,,,,,
4998.0,1,1600.3900146484375,1600.3900146484375,1600.3900146484375,,1601.280029296875,1601.3499755859375,1601.3499755859375,,1601.3499755859375,,1601.3499755859375,1601.3499755859375,1601.3499755859375,1601.3499755859375,1601.3499755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.510009765625,1613.510009765625,1613.52001953125,1613.52001953125,1613.52001953125,1613.52001953125,1613.52001953125,,,1613.530029296875,1613.530029296875,,,,1613.5400390625,1613.5400390625,1613.5400390625,,,,,,,,,,,,,,,,,,
